site_id,run_id,ts_iso,req_id,session_id,provider,raw_top1,raw_top2,raw_top3,raw_top4,raw_top5,calibrated_conf,calibrated_margin,boost_amount,boost_reason,final_conf,final_margin,score_range,score_variance,low_conf,low_conf_rule,gt_node_id,hit_top1
SCENE_A_MS,FT-SCENE_A_MS-1755902122793,2025-08-22T22:35:32.190195,aa2d6007-cfd2-41c4-a357-ca535fa735ae,P01,ft,0.200000,0.000000,0.000000,0.000000,0.000000,0.620734,0.200000,0.000000,none,0.620734,0.200000,0.200000,0.006400,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755902122793,2025-08-22T22:35:46.624193,303d5f68-718a-48d4-bd33-c8e93d3ce98b,P01,ft,0.200000,0.000000,0.000000,0.000000,0.000000,0.620734,0.200000,0.000000,none,0.620734,0.200000,0.200000,0.006400,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755902122793,2025-08-22T22:36:02.031629,7e778d56-e8e3-4010-a55f-fbd28dc0ce3f,P01,ft,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,none,0.200000,0.000000,0.000000,0.000000,true,score<0.5 AND margin<0.08,,
SCENE_A_MS,FT-SCENE_A_MS-1755903079724,2025-08-22T22:51:35.815510,87429543-9c4b-4657-9be0-290676a79f50,P01,ft,0.859900,0.140100,0.000000,0.000000,0.000000,0.980000,0.719800,0.000000,none,0.980000,0.719800,0.859899,0.111811,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755903079724,2025-08-22T22:52:10.627301,8d254a66-8521-4e3b-a2aa-11bb6c13d010,P01,ft,0.849553,0.150447,0.000000,0.000000,0.000000,0.980000,0.699106,0.000000,none,0.980000,0.699106,0.849553,0.108875,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755903079724,2025-08-22T22:52:24.953858,84a03e09-85cf-4757-bb50-3ec8f2b241af,P01,ft,0.997954,0.001022,0.001022,0.000001,0.000001,0.980000,0.996933,0.000000,none,0.980000,0.996933,0.997953,0.159183,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755903079724,2025-08-22T22:52:44.774213,ba9d3bf1-8441-4e49-99f5-f8df9375f85f,P01,ft,0.999523,0.000156,0.000156,0.000156,0.000006,0.980000,0.999367,0.000000,none,0.980000,0.999367,0.999517,0.159810,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755903079724,2025-08-22T22:53:00.835199,8ff4ae2c-98c7-45a7-8328-8967b11f72f4,P01,ft,0.843994,0.156006,0.000000,0.000000,0.000000,0.980000,0.687988,0.000000,none,0.980000,0.687988,0.843994,0.107333,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755903079724,2025-08-22T22:53:26.490229,ae8fcc3a-a108-4069-86c1-728fa20d5b7f,P01,ft,0.803141,0.067238,0.067238,0.062379,0.000004,0.980000,0.735903,0.000000,none,0.980000,0.735903,0.803136,0.091594,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906215692,2025-08-22T23:43:48.510596,5e0092fe-819a-425c-8662-8c3af8fa1612,P01,ft,0.781590,0.217663,0.000185,0.000185,0.000185,0.980000,0.563927,0.000000,none,0.980000,0.563927,0.781405,0.091667,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906215692,2025-08-22T23:44:17.828940,3b3102ab-486e-4484-8f63-0d8415163d47,P01,ft,0.847673,0.152326,0.000000,0.000000,0.000000,0.980000,0.695347,0.000000,none,0.980000,0.695347,0.847673,0.108351,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906215692,2025-08-22T23:44:38.562766,61439cae-f245-432f-9fc9-b92637fb6189,P01,ft,0.837734,0.162264,0.000000,0.000000,0.000000,0.980000,0.675470,0.000000,none,0.980000,0.675470,0.837734,0.105626,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906215692,2025-08-22T23:44:56.363478,91eb7fc0-d205-4cec-b865-93a46747f4f9,P01,ft,0.785934,0.213382,0.000085,0.000085,0.000085,0.980000,0.572551,0.000000,none,0.980000,0.572551,0.785848,0.092679,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906215692,2025-08-22T23:45:09.803337,3b0f3bf7-bb6b-4353-9274-747a5938bf81,P01,ft,0.801494,0.066164,0.066164,0.066164,0.000004,0.980000,0.735330,0.000000,none,0.980000,0.735330,0.801490,0.091106,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906215692,2025-08-22T23:45:35.344126,19d25714-2d60-424c-9804-9b847c16a58c,P01,ft,0.838527,0.161472,0.000000,0.000000,0.000000,0.980000,0.677055,0.000000,none,0.980000,0.677055,0.838527,0.105840,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906756152,2025-08-22T23:52:39.709779,a265ddf3-9cf8-423e-b8d5-7e84759ce6c1,P01,ft,0.874719,0.062453,0.062453,0.000374,0.000000,0.980000,0.812265,0.000000,none,0.980000,0.812265,0.874718,0.114587,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906756152,2025-08-22T23:52:56.782233,4ab24004-bd1a-4cc5-a24c-63c64c960406,P01,ft,0.836450,0.162636,0.000914,0.000000,0.000000,0.980000,0.673814,0.000000,none,0.980000,0.673814,0.836450,0.105220,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755906756152,2025-08-22T23:53:13.030255,ec5bd7db-cf62-47f0-bdb9-2b6032a9d962,P01,ft,0.998397,0.001435,0.000064,0.000025,0.000025,0.980000,0.996962,0.000000,none,0.980000,0.996962,0.998373,0.159364,false,,,
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755907860846,2025-08-23T00:11:07.389672,3ca533ba-0141-4711-98c1-1a0c0393d8ce,P01,ft,0.999997,0.000001,0.000001,0.000000,0.000000,0.950000,0.999996,0.000000,none,0.950000,0.999996,0.999997,0.159999,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755907890025,2025-08-23T00:11:34.449831,259b59bb-5afc-4e5a-a16c-42aa0ad68aa3,P01,ft,0.926364,0.073218,0.000412,0.000003,0.000003,0.950000,0.853146,0.000000,none,0.950000,0.853146,0.926360,0.132702,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755907890025,2025-08-23T00:11:43.821897,ffe3dc25-59d0-4279-8b72-0d57736b946a,P01,ft,0.998992,0.000978,0.000028,0.000001,0.000001,0.950000,0.998014,0.000000,none,0.950000,0.998014,0.998991,0.159597,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755907890025,2025-08-23T00:12:14.712177,5cc5ef32-a8ff-4585-a958-f5f74d821208,P01,ft,0.998397,0.001435,0.000064,0.000025,0.000025,0.950000,0.996962,0.000000,none,0.950000,0.996962,0.998373,0.159364,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755907890025,2025-08-23T00:12:24.857531,a59f66ba-9492-4d9c-a579-2f1ad998bdca,P01,ft,0.995366,0.004150,0.000186,0.000071,0.000071,0.950000,0.991216,0.000000,none,0.950000,0.991216,0.995295,0.158167,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755907890025,2025-08-23T00:12:37.139828,bf10a1fe-f6ff-4a25-8b5f-f8965b4be9cd,P01,ft,0.999730,0.000270,0.000000,0.000000,0.000000,0.950000,0.999460,0.000000,none,0.950000,0.999460,0.999730,0.159892,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755907890025,2025-08-23T00:13:11.102997,5c844866-14b9-4844-8eb3-b34a3d9770ce,P01,ft,0.999888,0.000107,0.000005,0.000000,0.000000,0.950000,0.999781,0.000000,none,0.950000,0.999781,0.999887,0.159955,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755908541803,2025-08-23T00:22:23.087670,85d78327-9f74-40cf-830a-af32375482e1,P01,ft,0.328959,0.198501,0.198501,0.039148,0.039148,0.461517,0.130459,0.000000,none,0.461517,0.130459,0.289811,0.012144,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755908543094,2025-08-23T00:22:31.919624,0933d283-a491-40a9-b09e-a939acaa2a42,P01,ft,0.633322,0.050017,0.039583,0.039583,0.039583,0.950000,0.583305,0.000000,none,0.950000,0.583305,0.593739,0.055926,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755908543094,2025-08-23T00:23:00.325498,42f862b5-6304-4fe9-b784-42d674c4f94a,P01,ft,0.353812,0.190633,0.190633,0.037846,0.037846,0.563729,0.163178,0.000000,none,0.563729,0.163178,0.315966,0.013852,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755908543094,2025-08-23T00:23:43.448968,04807625-cf9c-48d8-9588-e631021dc21c,P01,ft,0.415189,0.238612,0.056069,0.056069,0.039010,0.605118,0.176577,0.000000,none,0.605118,0.176577,0.376179,0.021508,false,,,
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755958812082,2025-08-23T14:20:20.545549,bff9207c-3b20-4883-9f74-d70eb85f3f22,P01,ft,0.375878,0.207827,0.207827,0.041694,0.041694,0.532560,0.168051,0.000000,none,0.532560,0.168051,0.334184,0.015610,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755958846492,2025-08-23T14:20:51.713687,c60a7591-1abe-4a18-b063-b1fcc9933abc,P01,ft,0.287930,0.161079,0.161079,0.156319,0.038932,0.450390,0.126851,0.000000,none,0.450390,0.126851,0.248998,0.006207,false,,,
SCENE_A_MS,FT-SCENE_A_MS-1755958846492,2025-08-23T14:21:18.962619,42db98c0-f9ba-4cac-ba9f-dfb07e10be2f,P01,ft,0.476777,0.176370,0.078338,0.038359,0.038359,0.897385,0.300407,0.000000,none,0.897385,0.300407,0.438417,0.027373,false,,,
